,Unnamed: 0,id,text_review,aspect,polarity_aspect,category_aspect,all_aspects,all_categories
39,39,a1UJSDTLg2WHXLWIP2GvDcHizboS-5540738___rating_4.txt,Produse buna ÎnsăLipsa multor produse pe stoc în Romania este un inconvenient major!! Iar termenele de livrare indelungate pentru cele din Franța sunt bonusul la lipsa stocurilor.,Produse buna,1.0,produs,Produse buna; Lipsa multor produse pe stoc în Romania este un inconvenient major; termenele de livrare indelungate pentru cele din Franța; lipsa stocurilor; ,produs; aprovizionare; livrare; aprovizionare; 
43,43,a1XFxP2.xe0mFlablh.7s8.UQYKe-1936095___rating_1.txt,Nici nu pot sa urmaresc comanda AEQXZALME. Introduc numarul de telefon si nu gaseste nimic. Introduc e-mail si la fel. Parca nici nu a fost inregistrataMai bine mergeti in magazin sa faceti cumparaturi..,Nici nu pot sa urmaresc comanda AEQXZALME,-1.0,comanda,Nici nu pot sa urmaresc comanda AEQXZALME; ,comanda; 
44,44,a2AnQkAbE5hxNcnOpAOryGEczaMS-4218022___rating_5.txt,Cel mai ok magazin cu articole sportive si de agrement.,Cel mai ok magazin cu articole sportive si de agrement,1.0,magazin,Cel mai ok magazin cu articole sportive si de agrement; ,magazin; 
45,45,a2CHtSDlLD2ck4MFMeMb80ypujWi-2824766___rating_1.txt,Pe site scria ca aveti nr 47 si in magazin nu exista !,Pe site scria ca aveti nr 47 si in magazin nu exista,-1.0,disponibilitate,Pe site scria ca aveti nr 47 si in magazin nu exista; ,disponibilitate; 
46,46,a3G3Lb1n_DxX7QQF7waENLYYorm0-4331247___rating_5.txt,"Este foarte comod,merge usor,directie si frna conceput exact pt varsta de 3-5 ani.Cu baiatul meu de 4.5 ani parcurgem zilnic  cate  8-10km,",Este foarte comod,1.0,confort,Este foarte comod; merge usor; Cu baiatul meu de 4.5 ani parcurgem zilnic  cate  8-10km; ,confort; utilizare; utilizare; 
49,49,a3PqMKwlaqvjKaJXyvNLEDVVgzBa-4150176___rating_3.txt,"pe site aveti produse care apar ca disponibile si in magazin dar in realitate produsele in cauza nu sunt INCA la vanzare in magazin, chipurile fac parte din colecta de iarna si vor fi expuse in magazin din octombrie ....si cu toate acestea el pot fi comandate online, nu mai inteleg nimic. Ori aveti produsele ori nu le aveti?",pe site aveti produse care apar ca disponibile si in magazin dar in realitate produsele in cauza nu sunt INCA la vanzare in magazin,-1.0,disponibilitate,pe site aveti produse care apar ca disponibile si in magazin dar in realitate produsele in cauza nu sunt INCA la vanzare in magazin; ,disponibilitate; 
50,50,a3USWYdSEWEGsDGwuFqqW7dpfLVS-3160604___rating_2.txt,"Ptr haine sport Nu erau produse din toate marimile, mereu mi-am luat alta marime decat port de obicei ptr ca nu gasesc ce imi trebui",Nu erau produse din toate marimile,-1.0,disponibilitate,Nu erau produse din toate marimile; mereu mi-am luat alta marime decat port de obicei ptr ca nu gasesc ce imi trebui; ,disponibilitate; disponibilitate; 
52,52,a4181qeGdR0Z9B5UIwgdIBYxpsNS-5674702___rating_4.txt,"Nu am intalnit niciun angajat pe raion, dar ne-am descurcat.Am avut o singura optiune de culoare pt produsul cumparat, aceeasi culoare ca anul trecut, dar marime diferita.Doamnele de la curatenie ne-au spus sa le facem loc, venisera sa stearga oglinzile, nu conta ca noi probam un articol si voiam sa vizualizam cum ne sta.Casa de marcat functiona foarte incet, aveati probleme cu sistemul. Doar 4 case deschise si coada de 10 persoane.","Nu am intalnit niciun angajat pe raion, dar ne-am descurcat",-1.0,personal,"Nu am intalnit niciun angajat pe raion, dar ne-am descurcat; Am avut o singura optiune de culoare pt produsul cumparat, aceeasi culoare ca anul trecut, dar marime diferita; Doamnele de la curatenie ne-au spus sa le facem loc, venisera sa stearga oglinzile, nu conta ca noi probam un articol si voiam sa vizualizam cum ne sta; Casa de marcat functiona foarte incet, aveati probleme cu sistemul; Doar 4 case deschise si coada de 10 persoane; ",personal; varietate; personal; servicii; atmosfera; 
57,57,a4W4cAfh7EqRxloSgR2P2OTph2My-1870521___rating_5.txt,"Lung si masiv. Anul trecut din pacate mi s-a furat bicicleta din casa scarii, cu toate ca era asigurat cu un antifurt standard, din aceasta cauza am optat pentru acest dispozitiv. Deocamdata mai am bicicleta.",Lung si masiv,1.0,produs,Lung si masiv; ,produs; 
58,58,a54BjzHOEPXSrK0nA_WZpko_LRSO-2574036___rating_4.txt,"Sunt angajati care stiu ceea ce vand, dar din pacate nu toti.",Sunt angajati care stiu ceea ce vand,1.0,personal,Sunt angajati care stiu ceea ce vand; din pacate nu toti; ,personal; personal; 
60,60,a54XiVLegtx8ng3xCZhrTVefQpJy-5731446___rating_1.txt,"Nu se poate rezerva un produs in magazin decat cu plata in avans...si daca nu-mi vine sau relitatea este diferita de fotografii,mi se returneaza suma platita?",Nu se poate rezerva un produs in magazin decat cu plata in avans,-1.0,rezervare,Nu se poate rezerva un produs in magazin decat cu plata in avans; ,rezervare; 
61,61,a5beY1UrquoyGw8_pwePwWn2b0.4-2791258___rating_4.txt,Aproximativ multumit .preturi bune personalul disponibil si politicos.domnii de la paza foarte de treaba!,preturi bune,1.0,pret,preturi bune; personalul disponibil si politicos; domnii de la paza foarte de treaba; ,pret; personal; personal; 
64,64,a5kuH9PTvXBsJ4vUi8n00CZ1JARa-1932286___rating_3.txt,"per ansamblu, e ok. ma intorc cu placere de fiecare data","per ansamblu, e ok",1.0,magazin,"per ansamblu, e ok; ",magazin; 
65,65,a5n9TT0Yx0cCdjMQTjY0nTKzqM14-4212941___rating_5.txt,extindeti gama de prouse ca sa cuprinda tot ce gasiti si in fr. de multe ori difera. mai aveti de imbunatatit partea de service de biciclete,extindeti gama de prouse ca sa cuprinda tot ce gasiti si in fr,-1.0,varietate,extindeti gama de prouse ca sa cuprinda tot ce gasiti si in fr; mai aveti de imbunatatit partea de service de biciclete; ,varietate; servicii; 
67,67,a5uZnSE1lRi36zPBNTS9SjYkYUoq-1994465___rating_1.txt,"Ma numesc Gabriel Lungu sin constanta si vreau sa va relatez ce mi sa intamplat la magazinul Decatolon Constanta.Nu am gasit la raft Trening Fitness Davivo Alb/Bleu Bărbaţi ADIDAS XXL (Ref.: 8352571 ), , i-am intrebat pe vanzatori daca au aceasta marime si mi-au spus ca in acte figureaza ca ar fi 2 bucati, dar fizic nu sunt si imi vor face comanda. Mi-au notat numele si numarul de telefon si mi-au spus ca intre 3- 10 zile voi primi pachetul, asta se intampla pe data de 05.05.2016. In speranta ca poate vine mai repede , am trecut pe la magazin si cand au verficat existau 3 buc. in stoc , dar fizic nu erau.. Mi-au promis ca luni 16.05 voi avea un raspuns. Nimic.",Nu am gasit la raft Trening Fitness Davivo Alb/Bleu Bărbaţi ADIDAS XXL,-1.0,disponibilitate,Nu am gasit la raft Trening Fitness Davivo Alb/Bleu Bărbaţi ADIDAS XXL; ,disponibilitate; 
68,68,a5UZqkqSkmG1a6QtheNA29DpQyPW-3993626___rating_3.txt,Extrem de putine produse pe categorii. Multe rafturi erau goale. Ofertă fata de site foarte slabă.,Extrem de putine produse pe categorii,-1.0,varietate,Extrem de putine produse pe categorii; Multe rafturi erau goale; Ofertă fata de site foarte slabă; ,varietate; aprovizionare; disponibilitate; 
71,71,a5wMrzX75Sl.WkKF6EGdz8xEoLa4-1207619___rating_5.txt,"Recomand acest produs, am fost saptamana trecuta in Retezat nu am avut nicio problema cu ei. Iar pretul este unul decent",Recomand acest produs,1.0,produs,Recomand acest produs; am fost saptamana trecuta in Retezat nu am avut nicio problema cu ei; Iar pretul este unul decent; ,produs; utilizare; pret; 
74,74,a5WPxXemosd3W_cWdsUMMPgYYO8O-2549607___rating_5.txt,"Echipa manageriala ar trebui sa mai ia in calcul si un alt aspect, asta daca nu contravine politicii de a face vanzari ( bani ) respectiv sa nu se mai tina cont STRICT de sezon. de ce nu pot gasi ptr cluburile mele bocanci vara si produse de vara iarna!!! este foarte enervant si nu sunt singurul, asta ma deranjeaza f. tare.",sa nu se mai tina cont STRICT de sezon,-1.0,varietate,sa nu se mai tina cont STRICT de sezon; de ce nu pot gasi ptr cluburile mele bocanci vara si produse de vara iarna; ,varietate; disponibilitate; 
76,76,a68Gj8IRGdIKjnFVp8DFPOhxpDgW-4156529___rating_3.txt,Slab aprovizionat. Lipsa marimi/ stoc la multe dintre produsele cautate.,Slab aprovizionat,-1.0,aprovizionare,Slab aprovizionat; Lipsa marimi/ stoc la multe dintre produsele cautate; ,aprovizionare; aprovizionare; 
78,78,a6EseZC1snP9R3o9u5PVxjTMAnBa-1279365___rating_4.txt,"Recomand acesti colanti datorita faptului ca sunt extrem de comfortabili si scot in evidenta silueta. Singurul lucru neplacut este ca pe culoarea neagra, scamele se aduna foarte repede si sunt vizibile intr-un mod neplacut. Nota 4/5.",Recomand acesti colanti,1.0,produs,"Recomand acesti colanti; sunt extrem de comfortabili si scot in evidenta silueta; Singurul lucru neplacut este ca pe culoarea neagra, scamele se aduna foarte repede si sunt vizibile intr-un mod neplacut; ",produs; confort; material; 
81,81,a6k73ZdL_HKGHWyw0u9RIzxhay3O-4395077___rating_3.txt,"dezordine la produse - nu am gasit numarul dorit la haine - sunt aruncate peste tot - si lipsesc preturile (cad, sistemul de prindere nu e bun).si nu sunt scanere de pret - macar sa il poti scana sa vezi pretul, pana ajungi la casa.",dezordine la produse,-1.0,organizare,dezordine la produse; nu am gasit numarul dorit la haine; sunt aruncate peste tot; lipsesc preturile; nu sunt scanere de pret; ,organizare; disponibilitate; organizare; organizare; servicii; 
86,86,a6NiDJ1atKhT.MJOjEWTBBVdjMX8-2000361___rating_5.txt,"Am vazut ca este in stoc la pallady,dar mai sus scrie pe rosu ca produsul nu este in momentan pe stoc,nu stiu ce sa cred,pana la urma este pe stoc sau nu?Va multumesc anticipat","Am vazut ca este in stoc la pallady,dar mai sus scrie pe rosu ca produsul nu este in momentan pe stoc",-1.0,disponibilitate,"Am vazut ca este in stoc la pallady,dar mai sus scrie pe rosu ca produsul nu este in momentan pe stoc; ",disponibilitate; 
87,87,a6PcLX7VWR.zpaBb6jJ4KuImGG7i-4230682___rating_3.txt,Produse fara preturi afisate. Personalul nu ti poate spune pretul. Trebuie sa stai la coada la case doar pentru a afla un pret.,Produse fara preturi afisate,-1.0,organizare,Produse fara preturi afisate; Personalul nu ti poate spune pretul; ,organizare; personal; 
89,89,a6SQ2bVhjIq2Q.ah0WXY9aku8KgG-5532951___rating_4.txt,"Scanarea cosului nu functiona si obliga casierul sa lucreze de 2 ori, deci rezulta un timp de asteptare mai mare la casa. Sistemul de a comunica prin telefon la o distanta de 5 metri  era inutil. Produse putine la ramura rugby .  provin dintr-un oras unde inca nu exista magazin Decathlon si imi comand multe produse online de la un lant englezesc .  Incercati sa mariti vanzarile online printr-o politica corespunzatoare si foarte deschisa.",Scanarea cosului nu functiona si obliga casierul sa lucreze de 2 ori,-1.0,servicii,Scanarea cosului nu functiona si obliga casierul sa lucreze de 2 ori; Produse putine la ramura rugby; ,servicii; aprovizionare; 
91,91,a7orphVmN.MiGLVUH8TGDr0cpNZO-4219913___rating_4.txt,"mai multe oglinzi unde chiar sa te poti  vedea proband o geaca sau orice obiect, pentru care  nu  e  musai sa te duci la cabina de proba !!!!","mai multe oglinzi unde chiar sa te poti  vedea proband o geaca sau orice obiect, pentru care  nu  e  musai sa te duci la cabina de proba",0.0,organizare,"mai multe oglinzi unde chiar sa te poti  vedea proband o geaca sau orice obiect, pentru care  nu  e  musai sa te duci la cabina de proba; ",organizare; 
92,92,a7RiZhXzCTS9E6xZ_9iEIfWyKQCK-4152757___rating_4.txt,De foarte multe ori gasesc afisata vanzarea unor produse si cand sa le cumpar pe raft nimic...intreb daca mai este in depozit la magazin si mi se raspunde ne pare rau...nu mai sunt...asta din pacate mi s-a intamplat de multe ori..,De foarte multe ori gasesc afisata vanzarea unor produse si cand sa le cumpar pe raft nimic,-1.0,disponibilitate,De foarte multe ori gasesc afisata vanzarea unor produse si cand sa le cumpar pe raft nimic; intreb daca mai este in depozit la magazin si mi se raspunde ne pare rau...nu mai sunt; asta din pacate mi s-a intamplat de multe ori; ,disponibilitate; aprovizionare; experienta; 
95,95,a7Xe5UN4toIX2gXNzodsxHsZM8_K-4447920___rating_3.txt,"Din păcate am comandat un produs și am primit alt produs.Asta e nu am returnat pt.ca nu am mai vrut  sa pierd vremea pt 50Ron dar ,va fii ultima comanda online,garantat!!",Din păcate am comandat un produs și am primit alt produs,-1.0,comanda,"Din păcate am comandat un produs și am primit alt produs; nu am returnat pt.ca nu am mai vrut  sa pierd vremea; va fii ultima comanda online,garantat; ",comanda; retur; comanda; 
98,98,a8.ORK.YSA27swpovei67poWkVj4-1800105___rating_1.txt,"ochelari de inot sunt la raft 29 si la casa 36, punga pentru protectia la apa a telefonului are pret la raft 8 lei si la casa 78! Am cumparat acelasi produs de doua ori si am platit pe acelas bon 2 preturi diferite!",ochelari de inot sunt la raft 29 si la casa 36,-1.0,pret,ochelari de inot sunt la raft 29 si la casa 36; punga pentru protectia la apa a telefonului are pret la raft 8 lei si la casa 78; Am cumparat acelasi produs de doua ori si am platit pe acelas bon 2 preturi diferite; ,pret; pret; pret; 
101,101,a87dx2Wuul5SdQQ256wz2mTGLkCe-2981228___rating_2.txt,Dupa 10 minute de joc buretele de pe degetul aratator si mijlociu s-a rupt. La 3 interventii si 6 aruncari ale mingii. Dezamagitor. Am ales aceasta pereche pt ca nu mai exista pe stoc s700. Per total foarte slab. Mentionez ca sunt la a 2 a pereche. La prima la al doilea joc s-au si descusut pe partea superioara.,Dupa 10 minute de joc buretele de pe degetul aratator si mijlociu s-a rupt,-1.0,rezistenta,Dupa 10 minute de joc buretele de pe degetul aratator si mijlociu s-a rupt; Am ales aceasta pereche pt ca nu mai exista pe stoc s700; Per total foarte slab; La prima la al doilea joc s-au si descusut pe partea superioara; ,rezistenta; disponibilitate; produs; rezistenta; 
105,105,a8CbODdJ3oHhevctTfjhtpL.vWCq-3908946___rating_1.txt,"Am incercat utilizarea acestui tub in acest weekend desi l-am achizitionat in data de 2 iulie 2017 si din pacate tubul ia apa. Aveam numai apa in gura. Am incercat si returul in magazin si a fost refuzat pe motiv ca au fost depasite cele 14 zile. Totusi in politica de retur se mentioneaza ca poate fi returnat in termen de 2 ani, produsul fiind practic nou pentru ca nu functioneaza. In continuare sper sa recuperez banii pe acest produs.",Am incercat utilizarea acestui tub in acest weekend desi l-am achizitionat in data de 2 iulie 2017 si din pacate tubul ia apa,-1.0,utilizare,Am incercat utilizarea acestui tub in acest weekend desi l-am achizitionat in data de 2 iulie 2017 si din pacate tubul ia apa; Am incercat si returul in magazin si a fost refuzat pe motiv ca au fost depasite cele 14 zile; ,utilizare; retur; 
107,107,a8fnKjgxK42wS11L57dzFV_QIcZ8-5774605___rating_5.txt,"calitate buna , se potriveste si la marime si latime  , nota 10",calitate buna,1.0,calitate,calitate buna; se potriveste si la marime si latime; nota 10; ,calitate; marimi; produs; 
110,110,a8FUWdL5qTIU3oGVph28ncv2J7vW-1467177___rating_5.txt,Amabilitatea si promptitudinea personalului ne ajuta sa luam decizii optime in timp scurt. Pentru copii este o incantare sa testeze produsele care le sunt adresate.,Amabilitatea si promptitudinea personalului ne ajuta sa luam decizii optime in timp scurt,1.0,personal,Amabilitatea si promptitudinea personalului ne ajuta sa luam decizii optime in timp scurt; ,personal; 
111,111,a8Sa4o9NdMKtzaiSbvPMDz1nU.zy-3531726___rating_5.txt,Ar fi interesant daca ar exista sinun grup sanitar in interiorul magazinului decatlon.,Ar fi interesant daca ar exista sinun grup sanitar in interiorul magazinului decatlon,0.0,magazin,Ar fi interesant daca ar exista sinun grup sanitar in interiorul magazinului decatlon; ,magazin; 
112,112,a8Uui2yUXwRoLtSf1Sg1jk6vPc4S-1415260___rating_5.txt,"Din nefericire nu toate produsele de pe site se regasesc si in magazin, dar prin amabilitatea personalului se pot aduce totusi. Pana la urma nu este un impediment major.",Din nefericire nu toate produsele de pe site se regasesc si in magazin,-1.0,disponibilitate,Din nefericire nu toate produsele de pe site se regasesc si in magazin; dar prin amabilitatea personalului se pot aduce totusi; ,disponibilitate; personal; 
114,114,a911aj_NXAAGJOYu9WIU.NxZ3fCG-5791819___rating_2.txt,Coada la casa de 15 persoane. Numai 2 case libere in timp ce multi angajati se plimbau prin magazin cu treaba sau fara.,Coada la casa de 15 persoane. Numai 2 case libere in timp ce multi angajati se plimbau prin magazin cu treaba sau fara,-1.0,personal,Coada la casa de 15 persoane. Numai 2 case libere in timp ce multi angajati se plimbau prin magazin cu treaba sau fara; ,personal; 
115,115,a98i9a.EOD6YG4Whpr4ao6njve3i-2133168___rating_3.txt,"La raft, sort barbatu avea pret pe eticheta 77 ron dar costa in realitate 89.","La raft, sort barbatu avea pret pe eticheta 77 ron dar costa in realitate 89",-1.0,pret,"La raft, sort barbatu avea pret pe eticheta 77 ron dar costa in realitate 89; ",pret; 
116,116,a9bQdCyl.lmX3OA1JnuA1Spe.STC-5715211___rating_1.txt,"Nu mi-a ajuns comanda, deloc. Deci nu pot avea  o opinie.","Nu mi-a ajuns comanda, deloc",-1.0,comanda,"Nu mi-a ajuns comanda, deloc; ",comanda; 
117,117,aa076VC.mMgvsPjNdSIupq3XdEaa-1302504___rating_3.txt,"Am vrut sa imi repar bicicleta si baiatul de acolo mi-a spus ca astazi nu se poate, sa dau un telefon inainte si ca duraza 2-3 zile...",Am vrut sa imi repar bicicleta si baiatul de acolo mi-a spus ca astazi nu se poate,-1.0,servicii,Am vrut sa imi repar bicicleta si baiatul de acolo mi-a spus ca astazi nu se poate; ,servicii; 
118,118,aA1LDVlLFtBrA9ZKovdXmnzyw6cC-4339264___rating_3.txt,"Magazinul are o varietate redusa de produse si de marimi, departamentele sunt prost organizate, nu gasesti o logica in organizarea lor.",Magazinul are o varietate redusa de produse si de marimi,-1.0,varietate,Magazinul are o varietate redusa de produse si de marimi; departamentele sunt prost organizate; nu gasesti o logica in organizarea lor; ,varietate; organizare; organizare; 
121,121,aAhn7Q9IdTKOkBc08fW6Y6yz0h9O-1674381___rating_5.txt,"Voi reveni pentru a achizitiona tot ce mi-am propus. Cred ca nu am fost suficient de atenta la amplasarea produselor, dar daca as fi intrebat un angajat cu siguranta as fi fost indrumata.",Voi reveni pentru a achizitiona tot ce mi-am propus,1.0,experienta,Voi reveni pentru a achizitiona tot ce mi-am propus; daca as fi intrebat un angajat cu siguranta as fi fost indrumata; ,experienta; personal; 
123,123,aahUDyzEz5LjFvlbBrg3.tGpAdl4-4917543___rating_3.txt,"Personalul de pe raionul echipament de munte foarte plictisit fara nici un interes sa te ajute, chiar ofensat ca ii intrebi sau le soliciti ajutorul.","Personalul de pe raionul echipament de munte foarte plictisit fara nici un interes sa te ajute, chiar ofensat ca ii intrebi sau le soliciti ajutorul",-1.0,personal,"Personalul de pe raionul echipament de munte foarte plictisit fara nici un interes sa te ajute, chiar ofensat ca ii intrebi sau le soliciti ajutorul; ",personal; 
124,124,aAK8qLJFnzhqvAEfugtkkczqKCVS-4938174___rating_3.txt,"personalul sa fie mai informat, in legatura cu marfurile pe care le prezinta.",personalul sa fie mai informat,-1.0,personal,personalul sa fie mai informat; ,personal; 
